,Model,Brier Score Training,Mean Brier Score CV,Accuracy Training,Mean Accuracy CV
0,Dummy Classifier,0.25,0.25,0.5168119551681195,0.5012403010777655
1,Logistic Regression - No Regularization,0.1650637851520812,0.22290908447314045,0.7652552926525529,0.6600491476558116
2,Decision Tree - UnRegularized,0.0,0.41093438594454446,1.0,0.5890656140554557
3,Random Forest - Basic,0.05106594458281445,0.20731239387008765,1.0,0.6731042355991563
4,Adaboost - Logistic Regression,0.24962318112281037,0.24967933019981575,0.7453300124533001,0.6650355062789033
5,Adaboost - Decision Tree,4.930380657631334e-32,0.427135697838664,1.0,0.5728643021613358
6,Elastic Net - C = 1 and p = 0.7,0.16821185140914877,0.21252091308817694,0.7465753424657534,0.6756216017491922
7,Catboost - Gradient Boosting,1.657537860024463e-05,0.26022638351904004,1.0,0.6506495738279058
8,Deep Neural Network - No Dropout,0.4962640099626401,0.4962636171900698,0.5037359900373599,0.50373638280993
9,Ensemble 1 - Logistic Regression + Random Forest,0.09562178414672555,0.20315099503123438,0.9140722291407223,0.6768599678798785
10,Ensemble 1 - Logistic Regression + Random Forest with Regularization,0.09562178414672555,0.20315099503123438,0.9140722291407223,0.6768599678798785
